filing_date,quarter,symbol,percentage,value,price_before,price_after,price_change_pct,hld_pct_change
2019-02-14,Q4 2018,ADBE,1.6,233570,260.2300109863281,259.45001220703125,-0.2997343682000821,65.43659338168631
2019-05-15,Q1 2019,ADBE,1.1,190274,271.8599853515625,283.54998779296875,4.300008486460055,-18.53662713533416
2019-08-14,Q2 2019,ADBE,1.1,210380,293.1700134277344,282.7099914550781,-3.56790309157407,10.566866729032864
2019-11-14,Q3 2019,ADBE,1.0,197243,293.5400085449219,297.5,1.349046583022126,-6.244414868333492
2020-02-14,Q4 2019,ADBE,0.3,49142,374.8399963378906,378.8500061035156,1.0697923927014106,-75.08555436694839
2020-05-15,Q1 2020,ADBE,0.3,53783,355.3900146484375,367.9700012207031,3.539769282687958,9.444060070815198
2020-08-14,Q2 2020,ADBE,0.3,73567,450.0199890136719,451.5799865722656,0.3466507258961682,36.784857668780106
2020-11-16,Q3 2020,ADBE,0.2,82883,469.3399963378906,467.9500122070313,-0.2961571870509599,12.663286527926921
2021-02-16,Q4 2020,ADBE,0.2,83770,498.8399963378906,491.2300109863281,-1.5255363257616288,1.0701832703932102
2021-05-17,Q1 2021,ADBE,0.8,350585,486.55999755859375,480.6199951171875,-1.2208160291045973,318.5090127730692
2021-08-16,Q2 2021,ADBE,0.8,431910,637.3099975585938,635.010009765625,-0.3608899596396636,23.196942253661735
2021-11-15,Q3 2021,ADBE,0.8,424594,657.5999755859375,671.030029296875,2.0422831827162096,-1.6938714083952644
2022-02-14,Q4 2021,ADBE,0.9,418207,473.9700012207031,479.5,1.1667402504492774,-1.5042605406576648
2017-11-14,Q3 2017,ADSK,0.9,137182,124.63999938964844,124.0199966430664,-0.4974348119529304,
2018-02-14,Q4 2017,ADSK,1.8,226488,109.79000091552734,113.5199966430664,3.3973911070543927,65.10037760055984
2018-05-15,Q1 2018,ADSK,1.9,283249,134.11000061035156,135.92999267578125,1.357088999438277,25.061371904913287
2018-08-14,Q2 2018,ADSK,1.6,303804,133.38999938964844,131.0500030517578,-1.7542517044738943,7.256865867134565
2018-11-14,Q3 2018,ADSK,1.7,361789,130.9199981689453,134.2899932861328,2.574087354354145,19.08631881081224
2019-02-14,Q4 2018,ADSK,0.8,113048,160.02999877929688,160.35000610351562,0.1999670853338464,-68.7530577214896
2016-02-16,Q4 2015,AFCO,0.0,422,,,,
2016-05-16,Q1 2016,AFCO,0.0,377,,,,-10.663507109004744
2016-08-15,Q2 2016,AFCO,0.0,362,,,,-3.9787798408488118
2016-11-14,Q3 2016,AFCO,0.0,473,,,,30.66298342541436
2017-02-14,Q4 2016,AFCO,0.0,478,,,,1.0570824524312794
2021-05-17,Q1 2021,AFRM,0.0,14144,54.0,51.63999938964844,-4.370371500651041,
2021-08-16,Q2 2021,AFRM,0.0,13470,65.94999694824219,63.5,-3.714931101763287,-4.7652714932126745
2021-11-15,Q3 2021,AFRM,0.0,23826,148.99000549316406,151.2899932861328,1.5437195168599935,76.88195991091314
2022-02-14,Q4 2021,AFRM,0.0,20112,46.54999923706055,44.79999923706055,-3.7593985578559286,-15.588013094938303
